"","V1","V2","V3","V4","V5"
"1",1,5,0.666666666666667,0.682057899990468,1.26308890001383
"2",1,8,0.471404520791032,0.482627100005629,0.171308800010593
"3",1,4,0.560597610169143,0.56437389999337,0.329964500007918
"4",1,3,0.471404520791032,0.482897900001262,0.453318100015167
"5",1,2,0.396402371667573,0.400005599993165,0.510408000001917
"6",1,2,0.396402371667573,0.400347000002512,0.374019800001406
"7",1,1,0.333333333333333,0.34116460000223,0.350943800003733
"8",1,6,0.333333333333333,0.341300600004615,0.502889600000344
"9",1,8,0.471404520791032,0.482414800004335,0.442272600004799
"10",1,4,0.560597610169143,0.564910799992504,0.357512799993856
"11",1,3,0.471404520791032,0.482132599994657,0.432847400006722
"12",1,10,0.666666666666667,0.670393799999147,0.47568930000125
"13",1,1,0.333333333333333,0.341310200004955,0.34875259999535
"14",1,1,0.333333333333333,0.340686900002765,0.357756400000653
"15",1,3,0.471404520791032,0.481861099993694,0.332577599998331
"16",1,10,0.666666666666667,0.670465599992895,0.510065299997223
"17",1,7,0.396402371667573,0.39984650000406,0.392449200007832
"18",1,1,0.333333333333333,0.341057899990119,0.33020700000634
"19",1,5,0.666666666666667,0.670374399996945,0.482944100003806
"20",1,6,0.333333333333333,0.341454399997019,0.430604600012884
"21",1,5,0.666666666666667,0.670454499995685,0.581468100004713
"22",1,8,0.471404520791032,0.482216700009303,0.900008500015247
"23",1,4,0.560597610169143,0.564522600005148,0.594378500012681
"24",1,3,0.471404520791032,0.482207400011248,0.371481199996197
"25",1,2,0.396402371667573,0.399873100002878,0.315906299991184
"26",1,2,0.396402371667573,0.399867500003893,0.415730200009421
"27",1,1,0.333333333333333,0.340969199998653,0.316761099995347
"28",1,6,0.333333333333333,0.340976400009822,0.325778800004628
"29",1,8,0.471404520791032,0.482293299995945,0.417734400005429
"30",1,4,0.560597610169143,0.564575999989756,0.417269600002328
"31",1,3,0.471404520791032,0.482369399993331,0.40695040000719
"32",1,10,0.666666666666667,0.670287400003872,0.866176299998187
"33",1,1,0.333333333333333,0.341141700002481,0.3744255000056
"34",1,1,0.333333333333333,0.341075599993928,0.26316339999903
"35",1,3,0.471404520791032,0.482227300002705,0.441766899995855
"36",1,10,0.666666666666667,0.669913399993675,0.443084300015471
"37",1,7,0.396402371667573,0.401299899996957,0.440933699996094
"38",1,1,0.333333333333333,0.341316199992434,0.312507500013453
"39",1,5,0.666666666666667,0.67035990000295,0.434751700013294
"40",1,6,0.333333333333333,0.34119200000714,0.566550500006997
"41",1,2,0.396402371667573,0.399858000004315,0.46858699999575
"42",1,9,0.560597610169143,0.564253300006385,0.447143800003687
"43",1,9,0.560597610169143,0.564615900002536,0.479370600005495
"44",1,8,0.471404520791032,0.481743099997402,0.0913967000087723
"45",1,9,0.560597610169143,0.564612000001944,0.517012700001942
"46",1,7,0.396402371667573,0.399898800009396,0.522790500006522
"47",1,5,0.666666666666667,0.670304700004635,0.536900699997204
"48",1,4,0.560597610169143,0.564533899989328,0.51792800000112
"49",1,7,0.396402371667573,0.399864499995601,0.661921100007021
"50",1,6,0.333333333333333,0.340955699997721,0.274358599999687
"51",1,3,0.471404520791032,0.482342499992228,0.368802800003323
"52",1,10,0.666666666666667,0.670391899999231,0.489755600006902
"53",1,2,0.396402371667573,0.399450500000967,0.384020400000736
"54",1,4,0.560597610169143,0.56452800000261,0.565464600003907
